"","X","k","density","inf_prob","rec_rate","duration","max_I","max_prevalence","percep","p","H","beta1","beta2","beta3","betas","pbyH","Hurst","proportion","lstructure"
"132",32,8,0.25,0.2,0.2,45,13207,0.79984253875969,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133",33,8,0.25,0.2,0.2,43,13261,0.803112887596899,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134",34,8,0.25,0.2,0.2,45,13247,0.802265019379845,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135",35,8,0.25,0.2,0.2,48,13258,0.802931201550388,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136",36,8,0.25,0.2,0.2,45,13195,0.799115794573643,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137",37,8,0.25,0.2,0.2,43,13194,0.799055232558139,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138",38,8,0.25,0.2,0.2,52,13195,0.799115794573643,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139",39,8,0.25,0.2,0.2,46,13152,0.796511627906977,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140",40,8,0.25,0.2,0.2,40,13240,0.801841085271318,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141",41,8,0.25,0.2,0.2,47,13133,0.795360949612403,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142",42,8,0.25,0.2,0.2,42,13085,0.792453972868217,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143",43,8,0.25,0.2,0.2,45,13273,0.803839631782946,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"144",44,8,0.25,0.2,0.2,44,13213,0.800205910852713,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145",45,8,0.25,0.2,0.2,46,13227,0.801053779069767,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146",46,8,0.25,0.2,0.2,42,13198,0.799297480620155,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147",47,8,0.25,0.2,0.2,53,13128,0.795058139534884,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148",48,8,0.25,0.2,0.2,39,13235,0.801538275193798,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149",49,8,0.25,0.2,0.2,45,13234,0.801477713178295,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150",50,8,0.25,0.2,0.2,41,13154,0.796632751937985,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151",51,8,0.25,0.2,0.2,41,13220,0.80062984496124,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"152",52,8,0.25,0.2,0.2,42,13215,0.800327034883721,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"153",53,8,0.25,0.2,0.2,39,13232,0.801356589147287,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154",54,8,0.25,0.2,0.2,46,13153,0.796572189922481,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"155",55,8,0.25,0.2,0.2,50,13164,0.797238372093023,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"156",56,8,0.25,0.2,0.2,42,13158,0.796875,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157",57,8,0.25,0.2,0.2,44,13241,0.801901647286822,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"158",58,8,0.25,0.2,0.2,41,13290,0.804869186046512,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159",59,8,0.25,0.2,0.2,40,13175,0.797904554263566,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"160",60,8,0.25,0.2,0.2,62,13131,0.795239825581395,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161",61,8,0.25,0.2,0.2,48,13162,0.797117248062015,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"162",62,8,0.25,0.2,0.2,42,13274,0.80390019379845,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"163",63,8,0.25,0.2,0.2,47,13239,0.801780523255814,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"164",64,8,0.25,0.2,0.2,45,13304,0.805717054263566,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"165",65,8,0.25,0.2,0.2,50,13135,0.795482073643411,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"166",66,8,0.25,0.2,0.2,44,13014,0.788154069767442,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"167",67,8,0.25,0.2,0.2,54,13233,0.801417151162791,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"168",68,8,0.25,0.2,0.2,40,13164,0.797238372093023,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"169",69,8,0.25,0.2,0.2,51,13124,0.794815891472868,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"170",70,8,0.25,0.2,0.2,52,13244,0.802083333333333,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"171",71,8,0.25,0.2,0.2,41,13223,0.800811531007752,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"172",72,8,0.25,0.2,0.2,40,13209,0.799963662790698,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"173",73,8,0.25,0.2,0.2,64,13167,0.797420058139535,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"174",74,8,0.25,0.2,0.2,40,13258,0.802931201550388,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"175",75,8,0.25,0.2,0.2,49,13278,0.804142441860465,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"176",76,8,0.25,0.2,0.2,43,13198,0.799297480620155,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"177",77,8,0.25,0.2,0.2,39,13214,0.800266472868217,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"178",78,8,0.25,0.2,0.2,44,13146,0.796148255813954,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"179",79,8,0.25,0.2,0.2,45,13237,0.801659399224806,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"180",80,8,0.25,0.2,0.2,53,13149,0.796329941860465,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"181",81,8,0.25,0.2,0.2,48,13298,0.805353682170543,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"182",82,8,0.25,0.2,0.2,47,13152,0.796511627906977,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"183",83,8,0.25,0.2,0.2,48,13195,0.799115794573643,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
